-0.481008	0.623511	0.398869	-0.255528	0.541370
-0.457958	0.597226	0.390227	-0.272638	0.551984
-0.457191	0.627260	0.392216	-0.262351	0.537723
-0.451808	0.644408	0.370110	-0.257664	0.508952
-0.456692	0.650136	0.359199	-0.288927	0.511021
-0.503186	0.646160	0.373266	-0.277576	0.500851
-0.467681	0.631211	0.343093	-0.243851	0.525892
-0.446653	0.653031	0.328093	-0.238610	0.525126
-0.483581	0.646826	0.319952	-0.222230	0.524436
-0.447838	0.632192	0.329002	-0.268412	0.506288
-0.443327	0.629888	0.348791	-0.281254	0.508478
-0.446499	0.606214	0.357407	-0.259906	0.537708
-0.447541	0.579717	0.354725	-0.246360	0.541200
-0.421653	0.580823	0.356513	-0.260054	0.538906
-0.409232	0.591895	0.348935	-0.257177	0.540841
-0.433167	0.623936	0.347115	-0.253922	0.531396
-0.430714	0.627455	0.313565	-0.282244	0.527231
-0.443071	0.596113	0.298189	-0.331946	0.531954
-0.443604	0.593275	0.331342	-0.313525	0.530273
-0.425002	0.598302	0.302945	-0.288010	0.550537
-0.426799	0.619668	0.307702	-0.281796	0.552637
-0.419637	0.606070	0.339050	-0.285076	0.542586
-0.422403	0.627551	0.311663	-0.280915	0.524031
-0.431669	0.629806	0.267550	-0.285944	0.523083
-0.435777	0.627111	0.256163	-0.267703	0.527384
-0.455151	0.631915	0.269904	-0.285888	0.515229
-0.422003	0.624162	0.252089	-0.329761	0.526679
-0.412178	0.619741	0.255492	-0.324516	0.531852
-0.409564	0.620368	0.259958	-0.294428	0.535216
-0.373952	0.597948	0.214754	-0.270263	0.527601
-0.357172	0.576730	0.182191	-0.270187	0.480294
-0.337905	0.533512	0.188709	-0.272594	0.458344
-0.339060	0.512310	0.245560	-0.279789	0.486612
-0.344405	0.525838	0.273974	-0.275467	0.506741
-0.346001	0.550299	0.287822	-0.357276	0.457577
-0.368307	0.543594	0.332124	-0.366890	0.448137
-0.357950	0.542750	0.306436	-0.369094	0.512361
-0.383742	0.577479	0.235351	-0.321265	0.511109
-0.411063	0.576442	0.199033	-0.264950	0.531637
-0.379702	0.583784	0.167395	-0.252439	0.511018
-0.332481	0.609488	0.206407	-0.285543	0.496981
-0.359032	0.613522	0.242334	-0.299514	0.507238
-0.357326	0.592296	0.258201	-0.277453	0.512864
-0.358162	0.632375	0.268667	-0.251663	0.515939
-0.367826	0.623885	0.277996	-0.210782	0.530241
-0.425126	0.642117	0.283462	-0.227664	0.516593
-0.401707	0.632558	0.252675	-0.252507	0.503980
-0.421891	0.617113	0.225710	-0.268398	0.534512
-0.433141	0.608814	0.232380	-0.287242	0.521070
-0.406951	0.611959	0.240376	-0.312240	0.523577
-0.376468	0.622054	0.255830	-0.325025	0.503901
-0.407847	0.627932	0.276881	-0.306418	0.530300
